id,prefectures,city,ward,town,polygon
0,京都府,京都市,上京区,一条横町,"POLYGON((135.7540756362168 35.02661105734943,135.75395101908157 35.026612286199665,135.75384560079485 35.02660644002895,135.7538486469531 35.02653890613725,135.75378157535025 35.026536517538446,135.75373383618052 35.02649641869714,135.75372602474948 35.02640921447953,135.75352887089133 35.02640304181947,135.75353290489613 35.026269731321996,135.75390735746905 35.026286682626235,135.75424551309186 35.026302011139954,135.75422544109375 35.02650275989974,135.75408299813773 35.02650303717304,135.7540756362168 35.02661105734943))"
1,京都府,京都市,上京区,一条殿町,"POLYGON((135.7566008785243 35.02755821019407,135.75648239046615 35.02755635472828,135.75642086902613 35.02758074059961,135.7564166020482 35.027685387129,135.75626930474064 35.027675726963075,135.75598687258892 35.027749747619644,135.75599547478194 35.02747354852451,135.75592919345453 35.027471162776706,135.7559140185443 35.02738345119605,135.75576082973717 35.027368426584786,135.75575255087696 35.02718466550065,135.75553747069773 35.02718881393317,135.75549636520236 35.02719211236635,135.75546290190746 35.02673694425462,135.7554638065786 35.02668384411878,135.75584711442477 35.02667425592199,135.75598047931138 35.02669008662327,135.7560128859938 35.026652965646306,135.75616229184615 35.026650657223975,135.75618416349627 35.026630066182406,135.75630946535244 35.02662890671733,135.7563209712316 35.02654427635338,135.75636403982574 35.0265429530976,135.75639646486664 35.026499846330644,135.75660727299723 35.0265063226953,135.7566137414996 35.02657091671439,135.75672805601835 35.026571989549566,135.75672638635052 35.02662318689169,135.75688997812222 35.02662280696991,135.75687395816203 35.02684574772839,135.75676782471044 35.026850044241534,135.7567481065642 35.026881133641744,135.7567096619238 35.0275336359712,135.75660548758293 35.027519343559,135.7566008785243 35.02755821019407))"
2,京都府,京都市,上京区,一松町,"POLYGON((135.75741827559375 35.027597439233936,135.75722432241724 35.02759318135086,135.75722104833662 35.027622331908596,135.7568572892092 35.027606187152664,135.7568542036484 35.02767315735008,135.75667812272724 35.027661961234486,135.75667913812737 35.02759280446038,135.75660585125675 35.02759244700162,135.7566008785243 35.02755821019407,135.75660548758293 35.027519343559,135.7567096619238 35.0275336359712,135.7567481065642 35.026881133641744,135.75676782471044 35.026850044241534,135.75687395816203 35.02684574772839,135.75688997812222 35.02662280696991,135.75688542202812 35.02657047043642,135.7570703742878 35.02656266855891,135.75727914071217 35.02656512544822,135.7572815037248 35.02662816161082,135.75745707901862 35.02662850963236,135.7574418586497 35.02701843508604,135.75741827559375 35.027597439233936))"
4,京都府,京都市,上京区,一番町,"POLYGON((135.7389763083438 35.02402109575768,135.73938359866682 35.024030843328724,135.73979294332364 35.02404108703774,135.74017217684977 35.024050560088746,135.7400963040636 35.02478559592488,135.74015857115896 35.02479087010637,135.7401452430386 35.02497965895709,135.73935476342274 35.02497627712475,135.73934944089288 35.02515113895168,135.73934999850655 35.025673362789114,135.73891186608228 35.025667000548644,135.73827586860818 35.025657815821965,135.73824561522295 35.0256813441867,135.73799366983508 35.025675941764476,135.73799184904067 35.02563600507755,135.73780382157963 35.02563489577079,135.73780286762914 35.02513950368662,135.73780627134784 35.02488273045067,135.73780812449857 35.02474377973455,135.73817957210153 35.024738945725574,135.73818564867145 35.02438139656019,135.73834785471018 35.02439097136153,135.7383482433126 35.024193703548754,135.73835061808222 35.024011511815445,135.73844098630957 35.02401015654955,135.7389763083438 35.02402109575768))"
5,京都府,京都市,上京区,一真町,"POLYGON((135.76851898239764 35.030276588129944,135.7683354404259 35.03029067998298,135.76822587099988 35.03028955892276,135.76822120953506 35.029187658812106,135.76880471842264 35.02917297987568,135.76881075381286 35.03007487147292,135.76873610151836 35.03007198462219,135.76873575004979 35.030106069871124,135.76861245848124 35.03010583837373,135.7686123652733 35.03013964285382,135.76861278403126 35.03015947570457,135.76851519621908 35.03015929238277,135.76851898239764 35.030276588129944))"
6,京都府,京都市,上京区,一色町,"POLYGON((135.74519898038483 35.03074670630996,135.7454718897809 35.030754462149204,135.74548837364537 35.030733086643956,135.74582595145714 35.03073231394653,135.7458395821584 35.031332809714335,135.74551271909516 35.03133642188553,135.745258127775 35.03132891540241,135.74525782111704 35.0314285006907,135.74522066033003 35.0314287743372,135.74509783184507 35.03143809394484,135.74510565347703 35.031705948430435,135.74508546488175 35.03170710232341,135.745035366239 35.03179418691454,135.74504901462453 35.031990990361365,135.74505049062515 35.03201240348332,135.74444652479772 35.03206008253258,135.74444386905432 35.03201901659061,135.7444348943432 35.03175757013715,135.74445929945603 35.0317562836923,135.74445086521246 35.031569631896204,135.74443256423473 35.03156924182101,135.7444370332706 35.03141853551402,135.7444808328888 35.031423698440086,135.7444891809798 35.031375332060016,135.7445398616719 35.031370297532796,135.7445529143836 35.03104586445826,135.7443202387992 35.031047417776186,135.74432155460067 35.030836207783196,135.74432170799264 35.030814234665556,135.7443230729067 35.030594221868824,135.7443232400101 35.030567811721546,135.74425819959933 35.03056549148066,135.74425661020737 35.03043512590913,135.74425601344765 35.03038638913848,135.7442538255613 35.030207850209365,135.7444862894887 35.030225452795534,135.74482051380977 35.030228620598116,135.7448211538989 35.03021545139489,135.74482624999504 35.030069043649455,135.7449516951872 35.03007163098105,135.74502720577615 35.030073197531145,135.74504047662077 35.03007343721954,135.74503556854498 35.030235057776395,135.74511697304405 35.03023452448758,135.74511478449702 35.03040277208785,135.74511413902337 35.03045256280173,135.74511281899188 35.03055446907101,135.7450375116996 35.03054938091705,135.74503913382785 35.030620094208345,135.74504194659198 35.030742222010815,135.74510953736416 35.030744194712675,135.74512541815054 35.03074465081706,135.74519898038483 35.03074670630996))"
7,京都府,京都市,上京区,一観音町,"POLYGON((135.74029318292 35.027589894636456,135.7393630569661 35.027621217666024,135.73933846754883 35.02734170684807,135.73933265021432 35.02636260468449,135.7397283660595 35.026354438407935,135.73984244911134 35.02634059693401,135.73984280368606 35.026636112092405,135.73977018681194 35.026640957211214,135.73977820054634 35.02694402599947,135.74016101576 35.026941957185116,135.74025047641754 35.02694412074923,135.74025863003868 35.02706717548499,135.74029318292 35.027589894636456))"
8,京都府,京都市,上京区,丁子風呂町,"POLYGON((135.75474406268052 35.02151092162256,135.75386691117623 35.02150281665177,135.75386612330541 35.021429217999334,135.75381476927373 35.021425311051864,135.75380574396485 35.02137254320599,135.75375166984824 35.02137651861717,135.75375133400144 35.021222563648976,135.7536972087601 35.021222384037564,135.75369493311572 35.02110180754972,135.75385718317528 35.0210947394666,135.7538671448852 35.020954257063025,135.75395132381743 35.02094569439166,135.75412319102136 35.02094315275181,135.75412346216322 35.02106851464447,135.75420697427887 35.021068330520755,135.7542068741163 35.02101551039917,135.7542705412797 35.021009792669126,135.7542779086118 35.02093557675158,135.7547434707178 35.02093538719256,135.75474406268052 35.02151092162256))"
9,京都府,京都市,上京区,七番町,"POLYGON((135.74013809658658 35.02085812609754,135.74104793750286 35.020841684108156,135.74104417920557 35.02049721286173,135.74156442850708 35.02048590484995,135.74156947668888 35.02058133623627,135.74136056793557 35.02058666626046,135.74136766678126 35.02081995077822,135.74172065300738 35.020814450733354,135.74171681068594 35.02103741711552,135.74170805996943 35.02122854094174,135.74171390729884 35.02184395339592,135.74137457544163 35.02184224622179,135.74136452389376 35.02256502787939,135.74137560994438 35.022797815972936,135.7413625615715 35.0230421737044,135.74131198957048 35.02304100962847,135.7409957564225 35.02303604112545,135.74102752525388 35.02234358921115,135.74102433232957 35.02230955429429,135.74080165438235 35.02231880065556,135.7407959966744 35.02234887184675,135.74057224002712 35.022352620072525,135.74048975944734 35.022289974366984,135.73993246273415 35.02230146164753,135.73993579787748 35.02231661091433,135.73970232475392 35.0223203367629,135.73971515958686 35.02247889824908,135.73939615685487 35.02247722900798,135.73938871508594 35.021436145922024,135.73938372121006 35.0207390388579,135.73938413249405 35.0206631180979,135.74013229444645 35.02066802876962,135.74013809658658 35.02085812609754))"
10,京都府,京都市,上京区,三丁町,"POLYGON((135.75505928663864 35.024725507136665,135.75522900528017 35.02472887602495,135.75524036829086 35.025005748238314,135.7563849113675 35.02502902113606,135.75640864620703 35.02502949121153,135.75664208243805 35.02502594180093,135.75664012324 35.02478120374993,135.75674550122045 35.02478500491955,135.75673656521764 35.02456173318776,135.75717927587792 35.02456014790892,135.75718036074426 35.02451845719382,135.7574761444993 35.02451418550223,135.75760955630645 35.024512266775,135.75761681237952 35.024791806225785,135.75761469637425 35.0248346920232,135.7577000412016 35.02483887542201,135.7577071185017 35.02503235323325,135.75774679822754 35.02503313589729,135.75773917502374 35.025167002123794,135.75769947002783 35.02516734624763,135.75770157112538 35.025276442310194,135.75753795409148 35.025279779797835,135.75753766942378 35.025443381957,135.75687101293036 35.02543635409227,135.7568708535904 35.02546163633848,135.7565957274942 35.02545608958359,135.756584980732 35.02542000947466,135.7561270202943 35.02542381544934,135.7561275777766 35.02544522643965,135.75573118690386 35.025444224457125,135.7557347241045 35.025806931269024,135.75545048679453 35.02580587028657,135.75544477212378 35.02573275600954,135.7554089755311 35.025416183939086,135.7550619794043 35.025416756941205,135.75505781763775 35.02531103774356,135.75471079342248 35.025306820126026,135.75439730370763 35.02530443034183,135.75440071380896 35.02519365546263,135.75437710186787 35.02513677301241,135.75394123368267 35.02514012185124,135.75394116039084 35.02501356415935,135.75381797940815 35.02500739983121,135.75381385535056 35.02489660970814,135.7539357569561 35.02488586799604,135.75393224189838 35.0246130964462,135.7542629213283 35.02460289176923,135.75437145856705 35.0245995410061,135.75437348537736 35.02449221506589,135.7547081420475 35.02450133844193,135.75470417799602 35.024386744582685,135.7550387772073 35.02437840009103,135.75505928663864 35.024725507136665))"
